rank,workers,company,state_l,city,growth,revenue,industry
1,227,Fuhu,California,El Segundo,158956.9106,195640000,Consumer Products & Services
2,191,Quest Nutrition,California,El Segundo,57347.9246,82640563,Food & Beverage
3,145,Reliant Asset Management,Virginia,Arlington,55460.1646,85076502,Business Products & Services
4,62,Superfish,California,Palo Alto,26042.963,35293000,Software
5,92,Acacia Communications,Massachusetts,Maynard,20690.4578,77652360,Telecommunications
6,50,Provider Power,Maine,Auburn,19876.5169,137977203,Energy
7,129,Crescendo Bioscience,California,South San Francisco,18375.0693,27308000,Health
8,130,Plexus Worldwide,Arizona,Scottsdale,16457.6529,159897088,Health
9,264,Vacasa,Oregon,Portland,16192.061,26263454,Travel & Hospitality
10,11,Go Energies,North Carolina,Wilmington,16006.8013,32851754,Energy
11,113,Minute Key,Colorado,Boulder,14588.3448,15782039,Consumer Products & Services
12,135,Sainstore,Kansas,Lenexa,14086.513,19243863,Business Products & Services
13,153,The HCI Group,Florida,Jacksonville,13230.9467,34583142,Health
14,313,Dynamic Dental Partners Group,Florida,Palmetto,12895.5867,19802935,Health
15,159,Aseptia,North Carolina,Raleigh,12427.4225,13887650,Food & Beverage
16,34,Asentra Health,Hawaii,Honolulu,12127.9133,20445071,Health
17,436,American Solar Direct,California,Los Angeles,11560.3538,52086567,Energy
18,42,Prescient Edge,Virginia,McLean,11497.7718,12315210,Government Services
19,27,BlueSquare Resolutions,Arizona,Scottsdale,11488.6004,46400872,Financial Services
20,44,BES Design/Build,Alabama,Fairhope,11374.9136,11819161,Engineering
21,12,Simpler Trading,Texas,Austin,10522.6415,11260000,Financial Services
22,790,sweetFrog Premium Frozen Yogurt,Virginia,Richmond,10371.7994,34382478,Food & Beverage
23,17,Base Commerce,Arizona,Tempe,10186.259,12479598,Financial Services
24,102,CPSG Partners,Texas,Dallas,9531.6371,17095000,IT Services
25,102,MedHOK,Florida,Tampa,9109.1892,17037000,Health
26,90,Showroom Logic,Florida,Miami,8448.5785,13443409,Advertising & Marketing
27,27,WeVeel,Pennsylvania,Morrisville,8239.8148,9007000,Consumer Products & Services
28,10,PackIt,California,Westlake Village,7877.9544,11874148,Consumer Products & Services
29,8,American Retirement Advisors,Arizona,Scottsdale,7758.1594,13876488,Financial Services
30,200,HighPoint Global,Indiana,Indianapolis,7638.5408,95810719,Business Products & Services
31,33,AdKarma,Missouri,Columbia,7635.2397,13326503,Advertising & Marketing
32,176,Axtria,New Jersey,Berkeley Heights,7351.2959,8963909,IT Services
33,24,Dolls Kill,California,San Francisco,7055.6604,7585000,Retail
34,140,Centric Digital,New York,New York,6898.4173,18045419,Business Products & Services
35,55,Retail Capital,Michigan,Troy,6861.3577,7013359,Financial Services
36,61,Restore Health,Wisconsin,Madison,6663.1769,6821205,Health
37,53,OpenRoad Lending,Texas,North Richland Hills,6603.3722,8853881,Financial Services
38,25,Pontchartrain Partners,Louisiana,New Orleans,6535.0538,10545091,Government Services
