Natural Disaster,Number of Deaths,Entity,Code,Year
Drought,0,Afghanistan,AFG,01/01/1900
Dry mass movement,0,Afghanistan,AFG,01/01/1900
Earthquake,0,Afghanistan,AFG,01/01/1900
Extreme temperature,0,Afghanistan,AFG,01/01/1900
Extreme weather,0,Afghanistan,AFG,01/01/1900
Flood,0,Afghanistan,AFG,01/01/1900
Fog,0,Afghanistan,AFG,01/01/1900
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1900
Volcanic activity,0,Afghanistan,AFG,01/01/1900
Wet mass movement,0,Afghanistan,AFG,01/01/1900
Wildfire,0,Afghanistan,AFG,01/01/1900
Drought,0,Afghanistan,AFG,01/01/1910
Dry mass movement,0,Afghanistan,AFG,01/01/1910
Earthquake,0,Afghanistan,AFG,01/01/1910
Extreme temperature,0,Afghanistan,AFG,01/01/1910
Extreme weather,0,Afghanistan,AFG,01/01/1910
Flood,0,Afghanistan,AFG,01/01/1910
Fog,0,Afghanistan,AFG,01/01/1910
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1910
Volcanic activity,0,Afghanistan,AFG,01/01/1910
Wet mass movement,0,Afghanistan,AFG,01/01/1910
Wildfire,0,Afghanistan,AFG,01/01/1910
Drought,0,Afghanistan,AFG,01/01/1920
Dry mass movement,0,Afghanistan,AFG,01/01/1920
Earthquake,0,Afghanistan,AFG,01/01/1920
Extreme temperature,0,Afghanistan,AFG,01/01/1920
Extreme weather,0,Afghanistan,AFG,01/01/1920
Flood,0,Afghanistan,AFG,01/01/1920
Fog,0,Afghanistan,AFG,01/01/1920
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1920
Volcanic activity,0,Afghanistan,AFG,01/01/1920
Wet mass movement,0,Afghanistan,AFG,01/01/1920
Wildfire,0,Afghanistan,AFG,01/01/1920
Drought,0,Afghanistan,AFG,01/01/1930
Dry mass movement,0,Afghanistan,AFG,01/01/1930
Earthquake,0,Afghanistan,AFG,01/01/1930
Extreme temperature,0,Afghanistan,AFG,01/01/1930
Extreme weather,0,Afghanistan,AFG,01/01/1930
Flood,0,Afghanistan,AFG,01/01/1930
Fog,0,Afghanistan,AFG,01/01/1930
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1930
Volcanic activity,0,Afghanistan,AFG,01/01/1930
Wet mass movement,0,Afghanistan,AFG,01/01/1930
Wildfire,0,Afghanistan,AFG,01/01/1930
Drought,0,Afghanistan,AFG,01/01/1940
Dry mass movement,0,Afghanistan,AFG,01/01/1940
Earthquake,0,Afghanistan,AFG,01/01/1940
Extreme temperature,0,Afghanistan,AFG,01/01/1940
Extreme weather,0,Afghanistan,AFG,01/01/1940
Flood,0,Afghanistan,AFG,01/01/1940
Fog,0,Afghanistan,AFG,01/01/1940
Glacial lake outburst flood,0,Afghanistan,AFG,01/01/1940
Volcanic activity,0,Afghanistan,AFG,01/01/1940
Wet mass movement,0,Afghanistan,AFG,01/01/1940
